# id,dateadded,url,url_status,threat,tags,urlhaus_link
155312,2019/3/9 9:22,http://schoolaredu.com/wp-content/upgrade/file/skillz/doc/purchase.doc,online,malware_download,"AZORult,RTF",https://urlhaus.abuse.ch/url/155312/
155311,2019/3/9 9:22,http://sweet-bud.com/1/6565.exe,online,malware_download,"exe,njRAT",https://urlhaus.abuse.ch/url/155311/
155310,2019/3/9 8:49,http://dunysaki.ru/Q/976013.jpg,online,malware_download,"exe,Loki",https://urlhaus.abuse.ch/url/155310/
155309,2019/3/9 8:45,http://industry-buzz.com/wp/5e6743cfe8a561244f42fb9507beea22/AP1960TTCopy.doc,offline,malware_download,doc,https://urlhaus.abuse.ch/url/155309/
155308,2019/3/9 8:42,http://sweet-bud.com/1/24.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155308/
155307,2019/3/9 8:38,http://bncv334d.ru/9/_output7C9BEA0R.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155307/
155306,2019/3/9 8:38,http://bncv334d.ru/9/R324DFG_signed.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155306/
155305,2019/3/9 8:38,http://bncv334d.ru/9/_output4E9BDC0S.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155305/
155304,2019/3/9 8:38,http://ikpaie.pl/l/sac.msi,online,malware_download,exe,https://urlhaus.abuse.ch/url/155304/
155303,2019/3/9 8:37,http://ikpaie.pl/l/sac.doc,online,malware_download,doc,https://urlhaus.abuse.ch/url/155303/
155302,2019/3/9 8:37,http://dunysaki.ru/Q/0232898.exe,online,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155302/
155301,2019/3/9 8:19,http://dunysaki.ru/Q/6301779.png,online,malware_download,"AZORult,exe",https://urlhaus.abuse.ch/url/155301/
155300,2019/3/9 8:18,http://dunysaki.ru/Q/448022314.png,online,malware_download,"exe,Loki",https://urlhaus.abuse.ch/url/155300/
155299,2019/3/9 8:17,http://dunysaki.ru/Q/0322516.jpg,online,malware_download,exe,https://urlhaus.abuse.ch/url/155299/
155298,2019/3/9 8:16,http://schoolaredu.com/wp-content/upgrade/file/blizzy/doc/order.doc,offline,malware_download,doc,https://urlhaus.abuse.ch/url/155298/
155297,2019/3/9 8:16,http://schoolaredu.com/wp-content/upgrade/file/blizzy/Purchase.exe,offline,malware_download,exe,https://urlhaus.abuse.ch/url/155297/
155296,2019/3/9 8:15,http://install-upload.com/uploads/b5b13973.exe,online,malware_download,"exe,tinynuke",https://urlhaus.abuse.ch/url/155296/
155295,2019/3/9 8:15,http://install-upload.com/uploads/3f372909.exe,online,malware_download,exe,https://urlhaus.abuse.ch/url/155295/
155294,2019/3/9 7:31,https://onedrive.live.com/download?cid=1E959AEF91BA7B87&resid=1E959AEF91BA7B87%21109&authkey=AJ2hFTI3re8w850,online,malware_download,"ace,exe",https://urlhaus.abuse.ch/url/155294/
155293,2019/3/9 7:22,http://demopn.com/lab/components/com_jce/iz9zp-mohfb-cjzg.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155293/
155292,2019/3/9 7:22,http://coopsantamonica.com.ar/wordpress/wp-content/uploads/sp2z-dws4va-ksbp.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155292/
155291,2019/3/9 7:22,http://nowokay.shop/wp-admin/zimbv-a0j51-nctdz.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155291/
155290,2019/3/9 7:22,http://syncdatacore.net/SANAM_AGRO/d0y3-cxsm8-znmhd.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155290/
155289,2019/3/9 7:22,http://syncdatacore.net/SANAM_AGRO/ridxr-6xhf5j-syfhy.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155289/
155288,2019/3/9 7:22,http://wearepermana.com/font-awesome/6dveg-11nra-kpxhy.view/,offline,malware_download,None,https://urlhaus.abuse.ch/url/155288/
155287,2019/3/9 7:22,http://blog.altinkayalar.net/wp-admin/ck0y9-jeilwi-ervo.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155287/
155286,2019/3/9 7:22,http://halal-expo.my/wp-admin/b15f5-xg86l-qbza.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155286/
155284,2019/3/9 7:22,http://aandeslagmetpit.nl/aspnet_client/2uln2-zpe4dp-hhot.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155284/
155285,2019/3/9 7:22,http://aandeslagmetpit.nl/aspnet_client/wewh-qxwid0-bdye.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155285/
155283,2019/3/9 7:22,http://www.fabiennebakker.nl/wp-content/uploads/edrhm-91ycrs-ixqam.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155283/
155282,2019/3/9 7:22,http://www.tkpgtaaqatrunnada.sch.id/bhaixp/papkaa17/28px5-z5iv7-gvnl.view/,offline,malware_download,None,https://urlhaus.abuse.ch/url/155282/
155281,2019/3/9 7:22,http://www.cbmagency.com/wp-content/rwgc9-n5o9f-epia.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155281/
155279,2019/3/9 7:22,http://aaykaydetergents.com/App_Data/aqr3-h23mv-shtvh.view/,offline,malware_download,None,https://urlhaus.abuse.ch/url/155279/
155278,2019/3/9 7:22,http://ayodhyatrade.com/ww4w/ypxt-e59dte-ycoh.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155278/
155280,2019/3/9 7:22,http://lotusttrade.com/App_Data/sendinc/qq3ws-gryn9s-blii.view/,offline,malware_download,None,https://urlhaus.abuse.ch/url/155280/
155277,2019/3/9 7:22,http://www.cbmagency.com/wp-content/2eg7-jbcy0q-kuxlf.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155277/
155276,2019/3/9 7:22,http://nanyangbaobao.com/wp-content/languages/kfm1-wym1i-fyrv.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155276/
155275,2019/3/9 7:22,http://nanyangbaobao.com/wp-content/bqrw2-yu919u-lecuz.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155275/
155274,2019/3/9 7:22,http://gelatidoro.sk/zrdgo4p/i2fz0-a5szmh-cmzk.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155274/
155273,2019/3/9 7:21,http://shreedadaghagre.com/wzaacky/dask-pu4ht-lqqer.view/,offline,malware_download,None,https://urlhaus.abuse.ch/url/155273/
